code,act,section,description
16290,"MVA","83(1)(a)","Suspension and cancellation of vehicle licences et"
16291,"MVA","83(1)","Suspension and cancellation of vehicle licences et"
16292,"MVA","83(3)(a)","Suspension and cancellation of vehicle licences et"
16293,"MVA","83(3)","Suspension and cancellation of vehicle licences et"
16294,"MVA","83(2)(d)","Suspension and cancellation of vehicle licences et"
16295,"MVA","83(2)(c)","Suspension and cancellation of vehicle licences et"
16296,"MVA","83(2)(b)","Suspension and cancellation of vehicle licences et"
16297,"MVA","83(2)(a)","Suspension and cancellation of vehicle licences et"
16298,"MVA","88(1)","Driving while Suspended"
16299,"MVA","88","Driving while Suspended"
16300,"MVA","87(3)(b)","Appeal of prohibition against driving"
16301,"MVA","84(3)","Prohibition against driving where unsatisfied judg"
16302,"MVA","88(1)(d)","Driving while prohibited or suspended"
16303,"MVA","83(1)(a)(iii)","Suspension and cancellation of vehicle licences et"
16304,"MVA","83(3)(b)","Suspension and cancellation of vehicle licences et"
16305,"MVA","88(2)","Driving while prohibited or suspended"
16306,"MVA","87(2)","Appeal of prohibition against driving"
16307,"MVA","88(1)(c)","Driving while prohibited or suspended"
16308,"MVA","87(3)","Appeal of prohibition against driving"
16682,"MVA","170(b)(ii)","Illegal U-Turn"
16683,"MVA","172(3)","Fail to signal stop or decrease in speed"
15499,"MVA","186(6)(a)","Gear of vehicle must not require changing crossing"
15500,"MVA","186(6)","Fail to proceed with caution at railway crossing"
15501,"MVA","187(c)","Disobey stop sign."
15502,"MVA","189(3)","Police may move parked vehicle"
15506,"MVA","188(3)","Where Parking Prohibited"
15510,"MVA","186(5)(g)","Commercial vehicle no stop at railway"
15511,"MVA","187(b)","Disobey stop sign."
15676,"MVA","177(1)(a)","Failing To Yeild while Entering Highway"
15677,"MVA","181(3)","Pass vehicle yielding to pedestrian"
15678,"MVA","155(d)","Left turn from wrong lane"
15679,"MVA","154(1)(d)","Fail to keep right"
15680,"MVA","155(b)","Lane change solid line"
15681,"MVA","157(1)","Cross solid double line"
16572,"MVA","2(1)","Application of Act"
16573,"MVA","2","Application of Act"
16574,"MVA","2(2)(a)(ii)","Application of Act"
16575,"MVA","1","Interpretation"
16576,"MVA","2(2)(a)","Application of Act"
16577,"MVA","2(5)","Application of Act"
16578,"MVA","2(2)(b)","Application of Act"
16579,"MVA","2(2)(a)(i)","Application of Act"
16580,"MVA","2(3)","Application of Act"
16581,"MVA","16(5)","Fail to transfer vehicle"
16583,"MVA","19(1)(b)","Notice of removal or destruction of motor vehicle"
16584,"MVA","22(2)","Improper class of Drivers licence"
16585,"MVA","2(6)","Application of Act"
16586,"MVA","19(1)(c)","Notice of removal or destruction of motor vehicle"
16587,"MVA","16(2)","Fail to transfer vehicle"
16588,"MVA","19(1)(a)","Notice of removal or destruction of motor vehicle"
16589,"MVA","16(3)","Fail to transfer vehicle"
16590,"MVA","19","Notice of removal or destruction of motor vehicle"
16591,"MVA","18","Registration of dissolved company suspended"
16592,"MVA","17","Transfer on death where estate small"
16593,"MVA","19(5)(b)","Notice of removal or destruction of motor vehicle"
16594,"MVA","2(6)(a)","Application of Act"
15512,"MVA","189(1)(f)","Police may move parked vehicle"
15513,"MVA","187","Disobey Stop Sign"
15514,"MVA","186(7)","Railway Crossings"
15515,"MVA","211.1(4)","Specific powers to make regulations"
15516,"MVA","211.1(3)(c)","Specific powers to make regulations"
15517,"MVA","211.1(3)(b)","Specific powers to make regulations"
15518,"MVA","211.3(1)","Use of television set while driving"
15519,"MVA","187(a)","Disobey stop sign."
15520,"MVA","189(1)(c)","Police may move parked vehicle"
15521,"MVA","189(1)(b)","Police may move parked vehicle"
15522,"MVA","189(1)(a)","Police may move parked vehicle"
15523,"MVA","189(1)","Police may move parked vehicle"
15524,"MVA","189","Police may move parked vehicle"
15525,"MVA","211.3(4)","Use of television set while driving"
15526,"MVA","211.1(1.3)","Specific powers to make regulations"
15527,"MVA","211.3(3)","Use of television set while driving"
15528,"MVA","211.1(3)","Specific powers to make regulations"
15529,"MVA","211.3(2)(a)","Use of television set while driving"
15530,"MVA","211.3(2)","Use of television set while driving"
15531,"MVA","211.1(3)(a)","Specific powers to make regulations"
15532,"MVA","211.3","Use of television set while driving"
15534,"MVA","211.1(1.3)(c)","Specific powers to make regulations"
15535,"MVA","211.1(1.3)(d)","Specific powers to make regulations"
15536,"MVA","211.1(2)","Specific powers to make regulations"
15942,"MVA","43","Driving demo vehicle - no consent"
15943,"MVA","45(1)","No pollution control devices"
15945,"MVA","44","Misuse of demonstration plates"
15946,"MVA","43(6)","Driving demo vehicle - no consent"
15683,"MVA","154(3)","Fail to keep right of rotary - traffic island"
15684,"MVA","154(2)","Slow vehicle not on right"
15685,"MVA","167(2)(a)","Failing to Turn Left next to Center Line"
15686,"MVA","156(1)","Passing when meeting oncoming vehicles"
15687,"MVA","156","Passing when meeting oncoming vehicles"
15688,"MVA","155(h)","Slow moving in wrong lane"
15689,"MVA","155(g)","Illegal pass on laned roadway"
15690,"MVA","155(f)","Unnecessary driving in centre lane"
15691,"MVA","155(e)","Right turn from wrong lane"
15692,"MVA","152","Schools and Playgrounds"
15693,"MVA","151(10)","Speed on municipal lane"
15694,"MVA","151(9)","Speed Limits"
15695,"MVA","151(8)","Speed Limits"
15696,"MVA","152.1(2)","Excessive Speeding"
15697,"MVA","155(a)","Unsafe lane change"
15698,"MVA","153","Failing to Stop for School Bus"
15699,"MVA","154(1)(c)","Fail to keep to right"
15700,"MVA","152.1(1)","Excessive Speeding on Highway"
15701,"MVA","154(1)(e)(i)","Fail to Keep Right"
15702,"MVA","152(2)","Speeding through a Playground"
15703,"MVA","164(1)","Follow too Closely"
15704,"MVA","138(a)","Pedestrian not in marked unmarked crosswalk"
15705,"MVA","138","Pedestrian disobey control signal"
15706,"MVA","137(3)(b)(ii)","Disobey pedestrian controls"
15707,"MVA","137(3)(b)(i)","Disobey pedestrian controls"
16070,"MVA","72(d)","Arrest without warrant"
16072,"MVA","72(b)","Arrest without warrant"
16073,"MVA","69","Fail to comply with motor vehicle act"
16074,"MVA","72","Arrest without warrant"
16077,"MVA","63(b)","Misuse of number plates"
16078,"MVA","93(8)","Stay of prohibition against driving"
15796,"MVA","93(10)","Stay of prohibition against driving"
15797,"MVA","97(2)(b)","Non resident without proof of financial responsibi"
15798,"MVA","97(7)(b)","Proof of financial responsibility"
15799,"MVA","93(11)","Stay of prohibition against driving"
15855,"MVA","24(2)(a)","Application for Licence"
15856,"MVA","24(2)(b)","Application for Licence"
15857,"MVA","24.1(2.2)","Refusal to issue a licence, permit etc."
15858,"MVA","24(6)(c)","Driving without adult supervision"
15859,"MVA","24(6)(b)","Driving without adult supervision"
15860,"MVA","24(6)(a)","Driving without adult supervision"
15861,"MVA","24(6)","Driving without adult supervision"
15862,"MVA","24(5)","Application for Licence"
15863,"MVA","23(3)(b)","Invalid Motor Vehicle Liability Policy"
15864,"MVA","23(3)(a)","Driving Without Insurance"
15865,"MVA","23(3)","Driving without Insurance"
15866,"MVA","23(2)","Driving Without Licence"
15867,"MVA","23(1)","No Drivers Licence"
15868,"MVA","23(4)(b)","Drive without insurance"
15869,"MVA","23(5)(a)(iii)","Offences- Licences and Insurance"
15870,"MVA","23(5)(a)(ii)","Offences- Licences and Insurance"
15871,"MVA","23(5)(a)(i)","Offences- Licences and Insurance"
15872,"MVA","23(5)(a)","Offences- Licences and Insurance"
15873,"MVA","23(5)","Offences- Licences and Insurance"
15874,"MVA","24(7)(b)","Fail to obey restriction on driver licence"
15875,"MVA","23(4)(a)","Drive without insurance"
15877,"MVA","24.1(1)(b.1)(x)","Refusal to issue a licence, permit etc."
15878,"MVA","24.1(1)(b.1)(ix)","Refusal to issue a licence, permit etc."
15879,"MVA","24.1(1)(b.1)(viii)","Refusal to issue a licence, permit etc."
15880,"MVA","24(7)","Fail to obey restriction on driver licence"
15881,"MVA","24.1(1)(b.1)(vi)","Refusal to issue a licence, permit etc."
15882,"MVA","24.1(2)(a)","Refusal to issue a licence, permit etc."
15883,"MVA","23(4)","Drive without insurance"
15884,"MVA","23(5)(c)","Offences- Licences and Insurance"
15885,"MVA","23(5)(b)","Offences- Licences and Insurance"
16283,"MVA","84(2)","Prohibition against driving where unsatisfied judg"
16284,"MVA","84(1)(b)","Prohibition against driving where unsatisfied judg"
15947,"MVA","43(5)","Driving demo vehicle - no consent"
15948,"MVA","51(2)","No inspection - hiring books"
15949,"MVA","43(2)","Driving demo vehicle - no consent"
15950,"MVA","45(4)","Pollution control devices on motor vehicles"
15952,"MVA","45(2)","Misuse of pollution devices on mv"
15953,"MVA","51(1)","Letting vehicles for hire"
15954,"MVA","42","Misuse of repair plate"
15956,"MVA","49","Passenger front of driver"
15958,"MVA","45.2(1)(e)","No pollution control devices"
15959,"MVA","47(1)","Carrying of revenue receipt in lieu of licence"
15960,"MVA","53(1)","Fail to comply mca act regs"
15961,"MVA","53","Fail to comply mca act regs"
15962,"MVA","52(2)","No inspection - used motor vehicle records"
15963,"MVA","52(1)","No inspection-used mv records"
15964,"MVA","52","No inspection - used motor vehicle records"
15965,"MVA","47","Carrying of revenue receipt in lieu of licence"
15966,"MVA","45.3(2)","Role of the superintendent"
15967,"MVA","45.3(1)","Role of the superintendent"
15968,"MVA","45.3","Role of the superintendent"
15970,"MVA","45.2(2)(b)","No pollution control devices"
16374,"MVA","32(3)","Cancellation of taxi permit"
16375,"MVA","32(2)","No chauffeurs permit"
16376,"MVA","32(1)","Municipal Chauffer Permits"
16377,"MVA","31.1(2)(b)","Exemption-non resident driver"
16378,"MVA","31.1(4)(c)","Exemption-non resident driver"
16080,"MVA","64(1)(b)","Illegal use or no inspection of licence or permit"
16081,"MVA","71","Limitation of actions"
16082,"MVA","67","Failing to Stop for Police or Give Information"
16083,"MVA","66","Transport animals in insecure manner on vehicle ex"
16084,"MVA","65","Refusing to Produce Licence"
16085,"MVA","64(2)","Illegal use of permitt"
16087,"MVA","64(1)(a)","Illegal use or no inspection of licence or permit"
16088,"MVA","69.2","Note:  Section(s) Repealed, Not In Force, Spent"
16089,"MVA","75(1)","Certificate of superintendent as evidence"
16090,"MVA","79","Responsibility of owner in certain cases"
16091,"MVA","64(1)","Illegal use or no inspection of licence or permit"
16092,"MVA","67(3)","Fail to state name stop"
16093,"MVA","67(2)","Failing to State Name and Address"
16094,"MVA","67(1)","Fail to Stop for Police"
16095,"MVA","76(3.1)(b)(ii)","Liability of Owner for Violation of Act"
16097,"MVA","76(4)","Liability of Owner for Violation of Act"
16098,"MVA","77(1)","Failing to Give Information on Accident to Peace O"
16099,"MVA","77","Duty to Give Information"
16100,"MVA","76(5)","Liability of Owner for Violation of Act"
16101,"MVA","76(4)(b)","Liability of Owner for Violation of Act"
16102,"MVA","81","Liability of licensees for offences of employees"
16103,"MVA","80","Liability of partners"
16491,"MVA","14(2)","Notice of change made in motor vehicle"
16493,"MVA","14(1)(d)","Fail to notify vehicle change"
16494,"MVA","16(4)","No transfer of vehicle"
16495,"MVA","16","Fail to transfer vehicle"
16496,"MVA","15(3)","New Serial Numbers"
15800,"MVA","94(1)(b)","Drive while prohib suspended"
15801,"MVA","94(1)(a)","Deemed Prior Convictions under Section 88 or 94"
15802,"MVA","94(1)","Driving while Suspended"
15804,"MVA","93(13)","Stay of prohibition against driving"
15805,"MVA","97(7)(a)","Proof of financial responsibility"
15806,"MVA","120(1)(g)","Municipal powers"
15807,"MVA","97(6)","Proof of financial responsibility"
15808,"MVA","97(5)","Proof of financial responsibility"
15809,"MVA","97(4)","Proof of financial responsibility"
15810,"MVA","95(4)","Reporting conviction or judgment"
15812,"MVA","100","Implied covenant"
15813,"MVA","99","Notice to insurer"
15814,"MVA","98","Service of unlicensed insurer"
15815,"MVA","97(7)(b)(iii)","Proof of financial responsibility"
15816,"MVA","97(7)(b)(ii)","Proof of financial responsibility"
15817,"MVA","97(7)(b)(i)","Proof of financial responsibility"
15818,"MVA","97(2)(a)","Non resident without proof of financial responsibi"
15820,"MVA","95(5)(c)","Reporting conviction or judgment"
15821,"MVA","95(5)(b)","Reporting conviction or judgment"
15822,"MVA","95(5)(a)","Reporting conviction or judgment"
15823,"MVA","95(5)","Reporting conviction or judgment"
15824,"MVA","96(2)","Impoundment of a motor vehicle"
16191,"MVA","61(6)","Accident Reports"
16192,"MVA","61(5)","Accident Reports"
16193,"MVA","61(4)","Accident Reports"
16319,"MVA","86(1)","Prohibition against Driving by Superintendent"
16320,"MVA","87(3)(a)","Appeal of prohibition against driving"
16321,"MVA","85(d)","Prohibition against driving relating to fitness or"
16322,"MVA","85(c)","Prohibition against driving relating to fitness or"
16323,"MVA","85(b)","Prohibition against driving relating to fitness or"
16324,"MVA","85(a)(ii)","Prohibition against driving relating to fitness or"
16325,"MVA","87(1)","Appeal of prohibition against driving"
16326,"MVA","6(2)(b)","Licence to Person Under 18 with no Parent or Guard"
16327,"MVA","9(3)","Special licence for tractors, etc."
16328,"MVA","6(2)","Licence to Person Under 18 with no Parent or Guard"
16329,"MVA","27(3)(a)","Failure to Change Address or Name"
16330,"MVA","27(3)","Failure to Change Address or Name"
16331,"MVA","24.1(2.1)(d)","Refusal to issue a licence, permit etc."
16332,"MVA","29","Note:  Section(s) Repealed, Not In Force, Spent"
16333,"MVA","6(2)(a)","Licence to Person Under 18 with no Parent or Guard"
16334,"MVA","9","Special licence for tractors, etc."
16335,"MVA","8","Unlicenced industrial vehicle"
16336,"MVA","7(3)","Licences for Farm Tractors"
16337,"MVA","7(2)","Licences for Farm Tractors"
16339,"MVA","30(1)(a)","Fail to produce Drivers licence or insurance"
16342,"MVA","27","Failure to Change Address or Name"
16343,"MVA","28","Application for minors licence"
16344,"MVA","27(1)","Failing to Change Address or Name on Drivers Licen"
16713,"MVA","170","Reverse Turn"
16714,"MVA","169(b)","Illegal right turn"
16715,"MVA","169(a)","Improper right turn - no intersection"
16716,"MVA","169","Improper right turn - no intersection"
16719,"MVA","168(a)","Improper left turn - no interesction"
16720,"MVA","170(b)","Unsafe prohibited u-turn"
16721,"MVA","181(4)(a)","Disobey school guard patrol"
16722,"MVA","183(c)","Fail to exercise duty to pedestrian"
16723,"MVA","183(b)","Fail to exerise duty to pedestrain"
16724,"MVA","183(a)","Fail to exercise duty to pedestrian."
16379,"MVA","31.1(3)","Exemption-non resident driver"
16380,"MVA","31.1(4)(a)","Exemption-non resident driver"
16381,"MVA","31.1(4)(b)","Exemption-non resident driver"
16382,"MVA","23","Offences- Licences and Insurance"
16383,"MVA","32(6)","Municipal Chauffer Permits"
16384,"MVA","32(5)","Chauffer Failing to have Permit in His Possession"
16385,"MVA","32(4)","Municipal Chauffer Permits"
16386,"MVA","31(1)(c)","Fail to obtain bc dl"
16387,"MVA","31(1)(b)","Fail to obtain bc dl"
16388,"MVA","31(1)(a)","Fail to obtain bc dl"
16390,"MVA","9(2)","Special licence for tractors, etc."
16391,"MVA","11(2)","Number plates"
16392,"MVA","11(1)","Improper display plate"
16393,"MVA","11","Number plates"
16394,"MVA","10","Not carrying a licence"
16395,"MVA","5(c)","Payment of premium"
16396,"MVA","12","Licence Plate Offences"
16397,"MVA","2(8)","Application of Act"
16398,"MVA","12(1)(a)","Motor Vehicle or Trailer without Licence"
16399,"MVA","12(1)","No vehicle licence"
16400,"MVA","9(1)","Special licence for tractors, etc."
16800,"MVA","220(1)","Refusal to give blood sample"
16801,"MVA","220(2)","Refusal to give blood sample"
16802,"MVA","217(7)(b)","Seat Belt Assembly"
16803,"MVA","218(2)","Motor Cycle Safety Helmets"
16497,"MVA","15(2)","New Serial Numbers"
16498,"MVA","15(1)","New Serial Numbers"
16499,"MVA","21(1)(a)","No vehicle licence"
16500,"MVA","21(1)","Reciprocal arrangements"
16501,"MVA","21","Reciprocal arrangements"
16502,"MVA","19(5)(a)","Notice of removal or destruction of motor vehicle"
16503,"MVA","21(2)","Reciprocal arrangements"
16504,"MVA","14(1)(c)","Fail to notify vehicle change"
16505,"MVA","16(1)","No transfer of vehicle"
16506,"MVA","21(2)(b)","Reciprocal arrangements"
16507,"MVA","21(2)(a)(ii)","Reciprocal arrangements"
16508,"MVA","21(2)(a)(i)","Reciprocal arrangements"
16509,"MVA","21(2)(a)","Reciprocal arrangements"
16510,"MVA","20(5)(c)","Fail to produce registration"
16511,"MVA","21(1)(b)","Reciprocal arrangements"
16512,"MVA","20(5)(d)","No proof fin responsibility"
16513,"MVA","21(1)(a)(i)","No vehicle licence"
16514,"MVA","20(1)(c)","Registration of Foreign Motor Vehicles and Trailer"
16515,"MVA","20(1)(b)","Registration of Foreign Motor Vehicles and Trailer"
16516,"MVA","20(1)(a)","Registration of Foreign Motor Vehicles and Trailer"
16194,"MVA","90(3)","Prohibition against driving by court"
16195,"MVA","90(2)(e)","Prohibition against driving by court"
16196,"MVA","92(1)","Automatic Prohibition Against Driving on Convictio"
16197,"MVA","90(2)(c)","Prohibition against driving by court"
16198,"MVA","90(4)(a)","Prohibition against driving by court"
16199,"MVA","61(2)(b)","Fail to report accident within 24 hours"
16200,"MVA","62","Failure of Duty of Driver at Accident"
16201,"MVA","61(8)","Accident Reports"
16202,"MVA","90(6)","Prohibition against driving by court"
16203,"MVA","90(5)","Prohibition against driving by court"
16204,"MVA","90(4)(c)","Prohibition against driving by court"
16205,"MVA","90(4)(b)","Prohibition against driving by court"
16206,"MVA","90(2)(b)","Prohibition against driving by court"
16207,"MVA","90(4)","Prohibition against driving by court"
16208,"MVA","92(2)","Automatic Prohibition Against Driving on Convictio"
16209,"MVA","90(3)(a)","Prohibition against driving by court"
16210,"MVA","88(4)","Driving while Suspended"
16211,"MVA","89(3)","Driver to surrender licence"
16212,"MVA","90(3)(b)","Prohibition against driving by court"
16213,"MVA","82","Interpretation"
16214,"MVA","91","Note:  Section(s) Repealed, Not In Force, Spent"
16215,"MVA","90(7)","Prohibition against driving by court"
16216,"MVA","90(2)(d)","Prohibition against driving by court"
16217,"MVA","89(1)(a)","Driver to surrender licence"
16218,"MVA","89(1)","Driver to surrender licence"
16219,"MVA","89","Driver to surrender licence"
16595,"MVA","19(5)","Notice of removal or destruction of motor vehicle"
16596,"MVA","19(4)","Notice of removal or destruction of motor vehicle"
16597,"MVA","19(3)","Notice of removal or destruction of motor vehicle"
16725,"MVA","183","Duty of Driver"
16726,"MVA","182","Pedestrian fail to yield to vehicle"
16728,"MVA","154(1)(b)","Fail to keep right"
16729,"MVA","154(1)(a)","Fail to keep right"
16730,"MVA","154(1)","Fail to Keep Right"
16731,"MVA","154","Driver on Right"
16732,"MVA","153(c)","Fail to stop for school bus"
16733,"MVA","153(b)","Fail to stop for school bus"
16734,"MVA","153(a)","Fail to stop for school bus"
16735,"MVA","160(1)(c)","Pass on right"
16736,"MVA","164","Follow Too Closely"
16737,"MVA","160(2)","Unsafe pass on right"
16738,"MVA","163(a)","Disobey traffic sign or signal"
16739,"MVA","163","Disobeying Traffic Sign or Signal"
16741,"MVA","161","Unsafe Pass on Left"
16743,"MVA","156(2)","Passing when meeting oncoming vehicles"
16744,"MVA","166","Enter controlled access highway"
16745,"MVA","165(b)","Fail to keep right of divided highway"
16746,"MVA","165(a)","Drive over highway divider"
16748,"MVA","164(3)","Fail to leave sufficient space between vehicle for"
16749,"MVA","164(2)","Commercial vehicle follow too closely"
16750,"MVA","157(1)(b)(i)","Fail to keep right of double broken solid line"
16751,"MVA","157(1)(b)","Failing to Keep to Right Unless Passing"
16752,"MVA","157(1)(a)","Cross Solid Double Line"
16753,"MVA","159(1)","Fail to pass at safe distance"
16754,"MVA","163(b)","Disobey traffic sign or signal"
16756,"MVA","166(1)","Enter controlled access highway"
16757,"MVA","159(2)","Fail to yield for passing vehicle"
16804,"MVA","217(7)(a)(iii)","Seat Belt Assembly"
16805,"MVA","217(7)(a)(ii)","Seat Belt Assembly"
16806,"MVA","214(11)","24 hr prohibition"
16807,"MVA","217(9)","Inadequate child restraint"
16808,"MVA","220.2(2)","Demand for blood sample"
16809,"MVA","221.1(a)","Transitional"
16810,"MVA","221.1(b)","Transitional"
16811,"MVA","222","CoMencement"
16812,"MVA","222(1)","CoMencement"
16813,"MVA","222(2)","CoMencement"
16814,"MVA","222(4)","CoMencement"
16815,"MVA","220.6","No legal obligation"
16816,"MVA","221","Report of psychologist, optometrist and medical pr"
16817,"MVA","221(a)","Report of psychologist, optometrist and medical pr"
16818,"MVA","221(b)","Report of psychologist, optometrist and medical pr"
16819,"MVA","221.1","Transitional"
16820,"MVA","220.4(2)","Proof of blood sample"
16822,"MVA","220.2(3)","Demand for blood sample"
16823,"MVA","220.4(2)(b)","Proof of blood sample"
16824,"MVA","220.4(2)(a)","Proof of blood sample"
16825,"MVA","215(2)","Regulations"
16826,"MVA","215(3)","Regulations"
16827,"MVA","215.1","Inspections"
16828,"MVA","215.1(1)","Inspections"
15537,"MVA","211.3(2)(b)","Use of television set while driving"
15538,"MVA","211.3(4)(a)","Use of television set while driving"
15539,"MVA","211.1(1)(hh)","Specific powers to make regulations"
15540,"MVA","211.1(1.1)","Specific powers to make regulations"
15541,"MVA","211.1(1.2)","Specific powers to make regulations"
15542,"MVA","211.3(4)(h)","Use of television set while driving"
15645,"MVA","185(2)","Rights and Duties of Operator of Cycle"
15646,"MVA","185(1)","Cycle Disobeying Rights and Duties"
15648,"MVA","184(3)","Pedestrian prohibited from solicit ride emp. bus."
15649,"MVA","181(4)","Disobey school guard patrol"
15650,"MVA","184(1)","Pedestrian where prohibited"
15651,"MVA","175","Disobey Yeild Sign"
15652,"MVA","174(2)","No proper signalling equipment for right hand driv"
16598,"MVA","19(2)","Notice of removal or destruction of motor vehicle"
16599,"MVA","96","Impoundment of a motor vehicle"
16600,"MVA","97(1)","Proof of financial responsibility"
16601,"MVA","97","Proof of financial responsibility"
16602,"MVA","96(6)","Impoundment of a motor vehicle"
16603,"MVA","96(5)","Impoundment of a motor vehicle"
16604,"MVA","96(4)","Impoundment of a motor vehicle"
16605,"MVA","96(3)","Impoundment of a motor vehicle"
16606,"MVA","136(2)(a)","Flashing red light - no intersection"
16607,"MVA","136(3)(a)","Yellow flashing light at intersection"
16608,"MVA","136(3)","Yellow flashing light at intersection"
16609,"MVA","136(2)(b)","Flashing red light - no intersection"
16610,"MVA","136(2)(a)(ii)","Flashing red light - no intersection"
16611,"MVA","137(3)","Disobey do not walk sign or walk against wait light"
16612,"MVA","136(4)(a)","Yellow flashing light - no intersection"
16614,"MVA","136(5)(b)","Fail to stop flashing red light"
16615,"MVA","136(5)(a)","Fail to yield at green flashing light"
16616,"MVA","136(5)","Fail to yield at green flashing light"
16617,"MVA","136(4)(b)","Yellow flashing light no intersection"
16618,"MVA","136(2)","Flashing red light - no intersection"
16619,"MVA","136(4)","Yellow flashing light no intersection"
16620,"MVA","135(1)","Fail to yield to green arrow"
16621,"MVA","135(2)(b)","Fail to yield - yellow arrow - pedestrian"
16622,"MVA","136(3)(b)","Fail to stop flashing yellow light"
16623,"MVA","151(6)","Speed Limits"
16624,"MVA","137(1)","Disobey walk sign"
15886,"MVA","23(5)(a)(iv)","Offences- Licences and Insurance"
15887,"MVA","24.1(2)(b)","Refusal to issue a licence, permit etc."
15888,"MVA","24.1(2)(a)(iii)","Refusal to issue a licence, permit etc."
15889,"MVA","24.1(2)(a)(ii)","Refusal to issue a licence, permit etc."
15890,"MVA","24.1(2)(a)(i)","Refusal to issue a licence, permit etc."
15892,"MVA","24.1(2)","Refusal to issue a licence, permit etc."
15893,"MVA","33(1)","Employing unlicenced driver"
15543,"MVA","211.1(1.3)(a)","Specific powers to make regulations"
15544,"MVA","211.3(4)(b)","Use of television set while driving"
15545,"MVA","211.1(1)(ee)","Specific powers to make regulations"
15546,"MVA","211.1(1)(ff)","Specific powers to make regulations"
15547,"MVA","211.1(1)(gg)","Specific powers to make regulations"
15548,"MVA","211.1(1)(gg)(i)","Specific powers to make regulations"
15549,"MVA","211.1(1)(gg)(ii)","Specific powers to make regulations"
15550,"MVA","214(5)","24 hr prohibition"
15551,"MVA","214(6)","24 hr prohibition"
15552,"MVA","214(7)","24 hr prohibition"
15553,"MVA","214(7)(a)","24 hr prohibition"
15555,"MVA","211.1(1.3)(b)","Specific powers to make regulations"
15556,"MVA","214","24 hr prohibition"
15557,"MVA","214(1)","24 hr prohibition"
15558,"MVA","214(2)","24 hr prohibition"
15559,"MVA","214(3)","24 hr prohibition"
15971,"MVA","45.3(2)(c)","Role of the superintendent"
15972,"MVA","51","Letting vehicles for hire"
15973,"MVA","55","Term and duration of licences"
15975,"MVA","53(2)","Fail to comply mca act regs"
15976,"MVA","45.3(3)(b)","Role of the superintendent"
15977,"MVA","45.3(3)(a)","Role of the superintendent"
15653,"MVA","174(1)(c)","No proper signalling equipment for right hand driv"
15654,"MVA","177(2)","Fail to Yeild to Vehicle Leaving Stop"
15656,"MVA","151(7)","Speed Against Munic. Sign"
20522,"MVA","34","Failure to obtain bc dl"
15658,"MVA","178(1)","Emerging Vehicle Fail to Stop"
15659,"MVA","178","Emerging From Alleys"
15660,"MVA","167(1)","Turning Right Keeping Close to Right Hand Curb"
15661,"MVA","177(1)(b)","Fail to yield after stop."
15662,"MVA","181(4)(b)","Disobey school guard patrol"
15663,"MVA","177(1)","Fail to Yield After Stop"
15664,"MVA","177","Entering Through Highway"
15665,"MVA","176","Failing to Yeild Right of Way on Left Turn"
15666,"MVA","181(2)","Pedestrian Unsafely Walking on to Street"
15667,"MVA","181(1)","Fail to Yield to Pedestrian"
15668,"MVA","181","Rights of Way Between Vehicle and Pedestrian"
15669,"MVA","180","Pedestrian disobey traffic control signal"
15671,"MVA","178(2)","Failing to Yield when Emerging from Alley"
15672,"MVA","154(1)(e)(ii)","Fail to Keep Right"
15673,"MVA","157","Highway Lines"
15675,"MVA","155(c)","Change lanes without signal"
16104,"MVA","79(3)","Responsibility of owner in certain cases"
16105,"MVA","79(2)","Responsibility of owner in certain cases"
16106,"MVA","79(1)","Responsibility of owner in certain cases"
16107,"MVA","76","Liability of Owner for Violation of Act"
15763,"MVA","134(4)","Red light-no intersection"
15764,"MVA","134(3)(c)(ii)","Disobey red light"
15765,"MVA","134(3)(c)(i)","Disobey red light"
15766,"MVA","134(3)(c)","Disobey red light"
15894,"MVA","24(7)(e)","Fail to obey restriction on driver licence"
15895,"MVA","24(7)(d)","Fail to obey restriction on driver licence"
15896,"MVA","24(7)(c)","Fail to obey restriction on driver licence"
15897,"MVA","24.1(1)","Refusal to issue a licence, permit etc."
15898,"MVA","24.1(1)(c)","Refusal to issue a licence, permit etc."
15899,"MVA","24.1(2.1)(c)","Refusal to issue a licence, permit etc."
15900,"MVA","24.1(2.1)(b)","Refusal to issue a licence, permit etc."
15901,"MVA","24.1(2.1)(a)","Refusal to issue a licence, permit etc."
15902,"MVA","24.1(2.1)","Refusal to issue a licence, permit etc."
15903,"MVA","24.1(1)(b)","Refusal to issue a licence, permit etc."
15904,"MVA","24.1(1)(a)(ii)","Refusal to issue a licence, permit etc."
15905,"MVA","24.1(1)(a)(i)","Refusal to issue a licence, permit etc."
15906,"MVA","24.1(1)(a)","Refusal to issue a licence, permit etc."
15907,"MVA","24.1(1)(b.1)(iv)","Refusal to issue a licence, permit etc."
15909,"MVA","24.1(1)(b.1)(vii)","Refusal to issue a licence, permit etc."
15910,"MVA","24(7.1)","Application for Licence"
15911,"MVA","24(7)(f)","Fail to obey restriction on driver licence"
15912,"MVA","45(4)(e)","Pollution control devices on motor vehicles"
15913,"MVA","45(4)(d)","Pollution control devices on motor vehicles"
15914,"MVA","45.2(2)","No pollution control devices"
15915,"MVA","45.1(b)","No pollution control devices"
15917,"MVA","24.1(1)(b.1)(iii)","Refusal to issue a licence, permit etc."
15918,"MVA","24.1(1)(b.1)(ii)","Refusal to issue a licence, permit etc."
